level,subject,question_id,current_difficulty,target_difficulty,topic
M1,números,m1-10,easy,hard,Números y Operaciones
M1,números,m1-12,easy,hard,Números y Operaciones
M1,números,m1-29,medium,hard,Números y Operaciones
M1,números,m1-69,medium,hard,Números y Operaciones
M1,números,m1-70,medium,hard,Números y Operaciones
M1,números,m1-72,easy,hard,Números y Operaciones
M1,números,m1-73,medium,hard,Números y Operaciones
M1,números,m1-75,easy,hard,Números y Operaciones
M1,números,m1-76,medium,hard,Números y Operaciones
M1,números,m1-77,medium,hard,Números y Operaciones
M1,números,m1-78,medium,hard,Números y Operaciones
M1,números,m1-79,medium,hard,Números y Operaciones
M1,números,m1-81,easy,hard,Números y Operaciones
M1,números,m1-82,easy,hard,Números y Operaciones
M1,números,m1-9,easy,hard,Números y Operaciones
M1,números,m1-11,medium,hard,Números y Operaciones
M1,números,m1-26,easy,hard,Números y Operaciones
M1,números,m1-28,medium,hard,Números y Operaciones
M1,números,m1-42,easy,hard,Números y Operaciones
M1,números,m1-43,medium,hard,Números y Operaciones
M1,números,m1-44,medium,hard,Números y Operaciones
M1,números,m1-45,easy,hard,Números y Operaciones
M1,números,m1-46,easy,hard,Números y Operaciones
M1,números,m1-47,medium,hard,Números y Operaciones
M1,números,m1-48,medium,hard,Números y Operaciones
M1,números,m1-49,medium,hard,Números y Operaciones
M1,números,m1-50,easy,hard,Números y Operaciones
M1,números,m1-51,easy,hard,Números y Operaciones
M1,números,m1-52,easy,hard,Números y Operaciones
M1,números,m1-53,medium,hard,Números y Operaciones
M1,números,m1-54,medium,hard,Números y Operaciones
M1,números,m1-56,medium,hard,Números y Operaciones
M1,números,m1-57,easy,hard,Números y Operaciones
M1,números,m1-58,easy,hard,Números y Operaciones
M1,números,m1-59,medium,hard,Números y Operaciones
M1,números,m1-60,easy,hard,Números y Operaciones
M1,números,m1-61,medium,hard,Números y Operaciones
M1,números,m1-62,medium,hard,Números y Operaciones
M1,números,m1-63,easy,hard,Números y Operaciones
M1,números,m1-65,medium,hard,Números y Proporcionalidad
M1,números,m1-66,easy,hard,Números y Operaciones
M1,números,m1-67,medium,hard,Números y Operaciones
M1,números,m1-108,easy,hard,Números y Operaciones
M1,números,m1-109,medium,hard,Números y Operaciones
M1,números,m1-110,medium,hard,Números y Operaciones
M1,números,m1-111,easy,hard,Números y Operaciones
M1,números,m1-112,medium,hard,Números y Operaciones
M1,números,m1-114,medium,hard,Números y Operaciones
